order,nrowMRD,jfID,ncolfrLast
6189,27716,X907514049011_A_7,33322
6190,30181,X907514182019_A_6,38781
6191,27877,X907514049012_G_5,33483
6192,27536,X907514049009_B_3,33142
6193,27876,X907514049012_G_4,33482
6194,28537,X907514182001_E_2,37137
6195,28579,X907514182002_A_10,37179
6196,29946,X907514182016_E_5,38546
6197,29293,X907514182009_E_9,37893
6198,29331,X907514182010_A_12,37931
6199,29907,X907514182016_B_2,38507
6200,28007,X907514049014_F_1,33613
6201,29458,X907514182011_D_1,38058
6202,28561,X907514182001_G_3,37161
6203,28008,X907514049014_F_2,33614
6204,28361,X907514050004_F_12,33967
6205,28058,X907514050001_D_2,33664
6206,28190,X907514050002_G_6,33796
6207,27800,X907514049012_A_10,33406
6208,27986,X907514049013_H_9,33592
6209,30572,X907514182023_C_11,39172
6210,29528,X907514182012_B_10,38128
6211,30458,X907514182022_A_4,39058
6212,28762,X907514182003_H_6,37362
6213,29202,X907514182008_F_11,37802
6214,28844,X907514182004_G_5,37444
6215,28920,X907514182005_F_1,37520
6216,30417,X907514182021_E_7,39017
6217,30174,X907514182019_A_10,38774
6218,29680,X907514182013_F_9,38280
6219,30493,X907514182022_D_3,39093
6220,29188,X907514182008_E_1,37788
6221,30031,X907514182017_D_8,38631
6222,28495,X907514182001_A_7,37095
6223,29651,X907514182013_D_4,38251
6224,27758,X907514049011_E_2,33364
6225,29142,X907514182008_A_11,37742
6226,28254,X907514050003_E_10,33860
6227,27796,X907514049011_H_7,33402
6228,27633,X907514049010_B_6,33239
6229,27978,X907514049013_H_11,33584
6230,30020,X907514182017_C_9,38620
6231,30558,X907514182023_B_1,39158
6232,29394,X907514182010_F_4,37994
6233,27689,X907514049010_G_3,33295
6234,28531,X907514182001_D_8,37131
6235,28415,X907514050005_B_9,34021
6236,28655,X907514182002_G_4,37255
6237,30526,X907514182022_G_11,39126
6238,30154,X907514182018_G_2,38754
6239,30178,X907514182019_A_3,38778
6240,27499,X907514049008_G_11,33105
6241,28475,X907514050005_H_1,34081
6242,29032,X907514182006_G_6,37632
6243,27921,X907514049013_C_2,33527
6244,28065,X907514050001_D_9,33671
6245,28757,X907514182003_H_11,37357
6246,28345,X907514050004_D_9,33951
6247,27911,X907514049013_B_4,33517
6248,28031,X907514050001_B_1,33637
6249,29970,X907514182016_G_6,38570
6250,28169,X907514050002_E_8,33775
6251,28739,X907514182003_F_5,37339
6252,28139,X907514050002_C_2,33745
6253,42171,X908014239003_C_1,42171
6254,45148,X908015145014_A_1,45148
6255,44769,X908015145009_C_1,44769
6256,38652,X908014125005_B_6,34501
6257,33281,X908013142009_G_4,30389
6258,49843,X908015257010_C_8,49843
6259,38330,X908014125001_C_11,34180
6260,46246,X908015154043_F_12,46246
6261,43476,X908015139005_F_9,43476
6262,45580,X908015154002_F_10,45580
6263,39139,X908014162005_C_1,34973
6264,41478,X908014238003_B_6,41478
6265,35984,X908013183018_H_7,33029
6266,35466,X908013183011_F_1,32511
6267,38841,X908014125007_F_11,34675
6268,32936,X908013142005_C_9,30044
6269,41851,X908014238007_B_3,41851
6270,30688,X907514182024_E_1,39288
6271,30884,X907514182026_E_8,39484
6272,38418,X908014125002_C_3,34268
6273,38122,X908013253028_F_7,28639
6274,39559,X908014171004_E_3,35393
6275,45096,X908015145013_A_10,45096
6276,34937,X908013183002_C_9,31982
6277,36175,X908013253002_H_9,26696
6278,33218,X908013142008_H_9,30326
6279,39460,X908014171003_E_1,35294
6280,35686,X908013183013_H_9,32731
6281,38916,X908014162001_F_12.1,34750
6282,49956,X908015257011_E_3,49956
6283,46881,X908015219011_A_2,46881
